Dataset,text_length,avg_accuracy,std_accuracy,avg_far,std_far,avg_frr,std_frr,avg_eer,std_eer,n_users
general,10,0.94609375,0.04657498073692744,0.0530241935483871,0.04926322661266541,0.08125,0.1512048386322556,0.06713709677419355,0.07241193248466911,32
general,20,0.9556640625,0.03710678842853204,0.04435483870967742,0.03921796022080147,0.04375,0.09816871586301588,0.04405241935483871,0.046549277136241504,32
general,25,0.9572265625,0.03856385359285884,0.04233870967741936,0.03953125705881014,0.05625,0.13663584756098845,0.04929435483870967,0.0712567870939918,32
general,50,0.9705078125,0.03518508002478901,0.028225806451612902,0.03585558777630526,0.06875,0.14013242584852925,0.048487903225806456,0.0730214817917394,32
general,75,0.979296875,0.030636621396043593,0.02036290322580645,0.030749725764429622,0.03125,0.0737804065256947,0.025806451612903222,0.044457123572341106,32
general,full,0.983203125,0.022753804848434596,0.01653225806451613,0.023687032161046177,0.025,0.06720215050322471,0.020766129032258066,0.034059359138859574,32
personal,10,0.9796875,0.027860539790523713,0.01935483870967742,0.02908424066310622,0.05,0.10160010160015241,0.034677419354838715,0.050627958928202994,32
personal,20,0.9796875,0.02808577013134886,0.02036290322580645,0.029319168502941386,0.018750000000000003,0.05922891621605981,0.019556451612903224,0.03026005353905762,32
personal,25,0.9861328125,0.022209957115232888,0.013911290322580646,0.02312321979336279,0.0125,0.04918693768379647,0.013205645161290323,0.025470753285577928,32
personal,50,0.9837890625,0.020444861860919896,0.016129032258064516,0.0214289310739611,0.018750000000000003,0.07803018439949605,0.01743951612903226,0.038482330778540054,32
personal,75,0.9859374999999999,0.02075927697789982,0.014112903225806451,0.021456326303395536,0.0125,0.07071067811865475,0.013306451612903227,0.03627210781177358,32
personal,full,0.9919921875,0.012919802938269203,0.007862903225806451,0.013184690283424423,0.0125,0.04918693768379647,0.010181451612903226,0.025690548453002164,32
